Maya knowledge base — patient questions derived from form fields,,,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,,,
NEWLY ADDED CONTENT: Rows shaded light green were added from the patient-experience review.,,,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note,Orig. row,Green in original?
KB-HLP-06,Help,T1,Is there a cost for this help?,How much do you charge? · Do I have to pay you?,"Nothing at all. The help is free, and we will never ask you for money or a payment of any kind.",Static,SAWS 2 PLUS cover,,39,Yes
HOUSEHOLD — MC 216 pages 3–4,,,,,,,,,40,
KB-HH-01,Household,T1,Who do I have to include?,Who counts as my household?,"Your spouse or partner, your children who live with you, any parents living with their children, and anyone on your tax return if you file one.",Static,MC 216 p.3,,41,No
KB-HH-02,Household,T1,Do I include my boyfriend or my roommate?,My girlfriend lives here · What about the guy renting a room?,"No. A boyfriend, girlfriend, or roommate applies on their own form if they want health coverage.",Static,MC 216 p.3,,42,Yes
KB-HH-03,Household,T1,Someone claims me as a dependent. What do I do?,My mum claims me on her taxes,"Then you include everyone in the household that claims you, plus any family living with you. It's worth having a counsellor check this one with you.",Static,MC 216 p.3,,43,Yes
KB-HH-04,Household,T1,My son moved out.,My daughter went to college · Someone left the house,Just tell them what changed and when. There's a place on the form for household changes in the last twelve months.,Static,MC 216 [p. clipped],,44,Yes
KB-HH-05,Household,T1,I had a baby.,There's a new baby · I gave birth,Congratulations. Add them and they can get covered. Let me make sure that gets on the form properly.,Static,MC 216 [p. clipped],,45,Yes
KB-HH-06,Household,T1,Does everyone have to live with me?,My husband works out of town,"Not necessarily. Household members can have different addresses, and there's room on the form for that.",Static,SAWS [clipped],,46,Yes
KB-HH-07,Household,T1,Someone in my house wants to apply too.,Can my wife get on it? · My mother needs coverage,Yes. There's a section for someone in your household who isn't on Medi-Cal yet and wants to apply.,Static,MC 216 [p. clipped],,47,Yes
KB-HH-08,Household,T3,Someone in my household died.,My husband passed away,I'm sorry. I'm not going to make you go through that on this call — let me get you to a person who can handle it with you.,Transfer,MC 216 [p. clipped],,48,Yes
KB-HH-09,Household,T3,Someone in my household is in jail.,My son is locked up · He's incarcerated,That's on the form and it does affect things. Let me get you to a specialist rather than guess at it.,Transfer,MC 216 [p. clipped],,49,Yes
KB-HH-10,Household,T1,Does it matter if my kids are covered and I'm not?,Only my children have it,"It's common for different people in one family to be on different programmes, and children can be covered even when adults aren't.",Static,SAWS […] Rules […],,50,Yes
TAX QUESTIONS — MC 216 page 5,,,,,,,,,51,
KB-TAX-01,Tax,T1,I don't file taxes. Can I still get Medi-Cal?,I never do taxes · I don't work enough to file,Yes. You don't have to file taxes to get health coverage. There's even a box for 'non-tax filer'.,Static,MC 2[16 …],,52,Yes
KB-TAX-02,Tax,T1,What is a primary tax filer?,What does primary filer mean?,"It's just the first person listed on the tax return. If nobody files, there isn't one.",Static,MC 2[16 …],,53,No
KB-TAX-03,Tax,T1,What does head of household mean?,Which box do I tick?,"It's a tax filing status — usually someone who's unmarried and supports a child or relative. If you're not sure, a counsellor can check your last return with you.",Static,MC 2[16 …],,54,No
KB-TAX-04,Tax,T1,Why do you need my tax information?,What's tax got to do with my health?,Medi-Cal works out household size and income partly from tax information. It's only used to decide health coverage.,Static,MC 2[16 …],,55,No
KB-TAX-05,Tax,T3,My tax situation changed. Does that matter?,I got married · I'm filing separately now,"It can matter quite a bit, because it changes who counts in your household. Let me get you to a counsellor.",Transfer,MC 21[6 …],,56,No
KB-TAX-06,Tax,T1,What is that box about using my tax returns to renew automatically?,It says something about renewing for five years,"If you say yes, the county can use your tax information to renew you automatically in future years, so you may not have to fill anything in. You can change your mind later.",Static,SAWS […],,57,No
KB-TAX-07,Tax,T1,Will Medi-Cal cost me money at tax time?,Will I owe anything? · Do I have to pay it back?,"Not for Medi-Cal. That repayment rule applies to Covered California subsidies, not to Medi-Cal.",Static,MC 21[6 …],,58,Yes
INCOME — MC 216 pages 6–7 [section title partly clipped: '…the highest-volume section'],,,,,,,,,59,
KB-INC-01,Income,T1,Do you want the amount before or after taxes?,Is that my take-home? · Before deductions?,Before. Put the amount before any taxes or deductions come out — the bigger number on your pay stub.,Static,MC 216 p.6,,60,Yes
KB-INC-02,Income,T1,I get paid every two weeks. What do I put?,I'm paid biweekly · Twice a month?,"There's a choice for that. 'Every two weeks' and 'twice a month' are different options, so pick the one that matches your pay days.",Static,MC 216 p.6,,61,Yes
KB-INC-03,Income,T1,My hours change every week. What do I write?,Some weeks I get nothing · It's different every month,"Then say your income changes month to month, and give what you expect for the whole next year. That's usually fairer than one week's pay stub.",Static,MC 216 p.7,,62,Yes
KB-INC-04,Income,T1,I work for cash. I don't have pay stubs.,I get paid in cash · Nobody gives me a stub · Day labour,"That's fine and it's common. You can report it as self-employment, and a tax return or a simple profit and loss can work instead of stubs.",Static,"MC 216 p.6, p.8",,63,Yes
KB-INC-05,Income,T1,What counts as income?,Do I have to put everything?,"Money from a job, from working for yourself, and from things like Social Security, unemployment, or a pension.",Static,MC 216 p.6–7,,64,Yes
KB-INC-06,Income,T3,Does my child's SSI count? Does CalFresh count?,Does food stamps count as income? · What about my disability cheque?,Whether a particular payment counts is exactly the kind of thing I don't want to get wrong. Let me get you a specialist.,Transfer,—,,65,No
KB-INC-07,Income,T1,I just lost my job.,I got laid off · My hours got cut,Then report the last date you got that pay. Losing income usually helps rather than hurts your Medi-Cal.,Static,MC 216 p.6,,66,Yes
KB-INC-08,Income,T1,Do I report tips?,What about cash tips?,"Yes, tips count as part of what you earn.",Static,SAWS 2 PLUS Q8,,67,Yes
KB-INC-09,Income,T1,Do I report money my family sends me?,My son helps me with rent · Someone gives me money,"It's worth putting down, including help with rent, food, or clothing. A counsellor can tell you how it's treated.",Static,"SAWS 2 PLUS Q7, Q9",,68,Yes
KB-INC-10,Income,T1,What proof of income do I need to send?,What papers do you want?,"Recent pay stubs, a benefit or award letter, or last year's tax return. Any one of those usually does it.",Static,MC 216 p.6,,69,Yes
KB-INC-11,Income,T1,My income is on here but it's wrong.,That's not what I make · That number is old,"Then tick 'no' next to it and give the date you last got that income, and the new amount. That's exactly what the update section is for.",Static,MC 216 p.6–7,,70,Yes
KB-INC-12,Income,T3,Do I make too much for Medi-Cal?,Am I over the limit? · Will I still qualify?,"That's the county's decision, and I don't want to guess about your coverage. Let me get you to someone who can look at your case properly.",Transfer,—,,71,No
KB-INC-13,Income,T3,The county says my income doesn't match. Why?,They say the numbers are different · They want proof of income again,"That's the most common reason a renewal gets held up, and it's fixable. Let me get you to a specialist who does this all day.",Transfer,MC 216 p.6,,72,No
KB-INC-14,Income,T1,Do I report my husband's income if he's not applying?,He's not on Medi-Cal · Does his money count?,His income usually still needs reporting even if he isn't applying. A counsellor can walk through it with you.,Static,SAWS 2 PLUS Opting Out para,,73,Yes
EXPENSES AND DEDUCTIONS — MC 216 page 8,,,,,,,,,74,
KB-EXP-01,Deductions,T1,Why would I tell you about my expenses?,What's the point of this section?,"Because some expenses lower the income they count, which can help you. It's worth filling in.",Static,MC 216 p.8,,75,Yes
KB-EXP-02,Deductions,T1,What kind of expenses count?,Like what?,"Things like self-employment costs, student loan interest, retirement contributions, or alimony you pay.",Static,MC 216 p.8,,76,Yes
KB-EXP-03,Deductions,T1,What proof do I need for expenses?,How do I show it?,A profit and loss statement or a tax return usually works.,Static,MC 216 p.8,,77,Yes
KB-EXP-04,Deductions,T3,I'm self-employed. What can I deduct?,Can I take off my gas and tools?,There's more than one way to count self-employment costs and the right one depends on your situation. Let me get you a counsellor.,Transfer,SAWS 2 PLUS Q8a,,78,No
KB-EXP-05,Deductions,T1,Do I have to fill this part in?,Can I skip it?,"You don't have to, but it can only help you, so it's usually worth a few minutes.",Static,MC 216 p.8,,79,No
"OTHER COVERAGE AND MEDICARE — MC 216 pages 9, 11",,,,,,,,,80,
KB-COV-01,Other coverage,T1,I have insurance from my job. Do I still qualify?,I have work insurance · Can I have both?,You can have Medi-Cal alongside other coverage in some cases. Just report the other plan and let the county work it out.,Static,MC 216 p.11,,81,Yes
KB-COV-02,Other coverage,T1,Do I have to report my dental plan?,It's only dental · What about vision?,"Yes — health, dental, vision, or pharmacy plans all go in that section.",Static,MC 216 p.11,,82,Yes
KB-COV-03,Other coverage,T1,I have Medicare. Do I still need this?,I'm on Medicare already,"Yes, still send it back. Many people have both, and Medi-Cal can help with Medicare costs.",Static,MC 216 p.9,,83,Yes
KB-COV-04,Other coverage,T1,I don't know which parts of Medicare I have.,What's Part B? · I don't know my plan,You can call Medicare directly on 1-800-633-4227 and they'll tell you. Or a counsellor can help you find out.,Static,MC 216 p.9,,84,Yes
KB-COV-05,Other coverage,T1,My other insurance is ending.,I'm losing my work plan,That's worth reporting — there's a place for coverage that ended or is ending in the last ninety days.,Static,SAWS 2 PLUS Q22b,,85,Yes
KB-COV-06,Other coverage,T3,Should I drop my other insurance?,Is it better to just use Medi-Cal?,"I can't advise you on that one, and it matters too much to guess. Let me get you to a specialist.",Transfer,—,,86,No
KB-COV-07,Other coverage,T3,Someone in my family is in a nursing home.,My mother is in long-term care,Long-term care has its own rules and I don't want to get them wrong. Let me get you to someone who handles that.,Transfer,MC 216 p.10,,87,No
HOUSEHOLD CHANGES — MC 216 pages 12–13,,,,,,,,,88,
KB-CHG-01,Changes,T1,I'm pregnant.,I'm expecting · I'm having a baby,"Congratulations — do tell them, because pregnancy can change what you're eligible for and there's extra help available.",Static,MC 216 p.12,,89,Yes
KB-CHG-02,Changes,T1,I was in foster care.,I aged out of foster care,"That matters. If you were in foster care on or after your eighteenth birthday, in any state, you may be covered up to twenty-six.",Static,MC 216 p.12,,90,Yes
KB-CHG-03,Changes,T1,My child turned nineteen.,He's not a kid anymore · She's twenty now,There's a question about that — being nineteen or twenty and a full-time student is asked separately.,Static,MC 216 p.13,,91,Yes
KB-CHG-04,Changes,T1,Someone in my house has a disability.,My son is autistic · I'm disabled,"There's a place to say that. It can open up extra help, so it's worth putting down.",Static,MC 216 p.12,,92,Yes
KB-CHG-05,Changes,T1,Can I get help with in-home care?,Who helps me at home? · I need someone to help me bathe,"Yes, there's a programme for in-home care and you can ask for information about it right on the form.",Static,MC 216 p.14,,93,Yes
KB-CHG-06,Changes,T1,Can my kids get check-ups and dental?,Do my children get a dentist?,"Yes — there's a no-cost programme for children under twenty-one, and you can ask for information about it on the form.",Static,MC 216 p.14; SAWS 2 PLUS Q38,,94,Yes
KB-CHG-07,Changes,T1,Can I get help with food?,Do you do food stamps? · I need groceries,"Yes. There's a food programme for pregnant and breastfeeding people and children under five, and CalFresh for food more generally. I can flag both.",Static,MC 216 p.14; SAWS 2 PLUS cover,WIC and CalFre[sh] […] applied for eithe[r] […],95,Yes
KB-CHG-08,Changes,T3,Someone had a transplant / is on dialysis.,I'm on dialysis three times a week,There are specific questions about that on the form. Let me get you to someone who can make sure they're answered right.,Transfer,MC 216 p.14,Organ transplan[t] […] dialysis are bot[h] […],96,No
SIGNING AND PERMISSION — MC 216 page 15,,,,,,,,,97,
KB-SIG-01,Signature,T1,Do I have to sign it?,Does it need my signature?,"Yes, it has to be signed or it isn't complete.",Static,MC 216 p.15,Signature under[…] federal and stat[…],98,No
KB-SIG-02,Signature,T1,What does 'penalty of perjury' mean?,What am I signing? · That sounds serious,It means you're promising the answers are true as far as you know. It's the same as most government forms.,Static,MC 216 p.15,Do not read the[…] the patient asks[…] and must be rea[…],99,No
KB-SIG-03,Signature,T1,What if I get something wrong by accident?,What if I don't know an answer?,"The form only asks that you answer as far as you know, and that you make a reasonable effort to check what you don't. Honest mistakes aren't fraud.",Static,MC 216 p.15,The 'reasonable[…] genuinely reass[…] assisted comple[…],100,No
KB-SIG-04,Signature,T1,Can someone sign for me?,Can my daughter sign it? · I can't write,Yes. The signature line allows either you or someone you've named to represent you.,Static,MC 216 p.15,The explicit stat[…] model. Do not e[…] for you' without[…],101,No
KB-SIG-05,Signature,T1,Can I sign over the phone?,Do I have to mail it? · Can we do this now?,"In many cases yes. If we do, I'll read you exactly what you're agreeing to first, and it gets recorded.",Static,DHCS MEDIL I 18-13,Telephonic signa[…] statement. Lega[…] counsel-approve[…],102,No
KB-SIG-06,Signature,T1,Are you recording this?,Is this being recorded?,"Yes, and I should have said so — calls are recorded. You can ask me to stop at any time.",Static,—,"Recording notic[…] every call, not a[…] answering this, […]",103,No
KB-SIG-07,Signature,T3,What am I agreeing to if I let you represent me?,What does that permission mean?,That's an important question and you should hear the full answer from a person. Let me get you a counsellor who will read it through with you.,Transfer,MC 216 p.15,The AR grant is[…] deserves a hum[…],104,No
KB-SIG-08,Signature,T1,Can I change my mind later?,Can I take it back? · What if I don't want this?,"Yes, at any time. Naming someone to help is your choice, and it's never a condition of getting care.",Static,MC 216 p.2; SAWS 2 PLUS App C,"Free-choice disc[…] flow, not only in […]",105,No
SENDING IT IN AND WHAT HAPPENS NEXT,,,,,,,,,106,
KB-SND-01,Submitting,T1,How do I send this back?,Where does it go? · Do I mail it?,"Four ways: online, by post in the envelope that came with it, over the phone, or in person at the county office.",Static,MC 216 p.1,"All four listed on[…] whichever match[…] capability, not w[…]",107,Yes
KB-SND-02,Submitting,T1,I don't have a computer.,I don't do internet · I only have a phone,"No problem at all. It can be done by post, over the phone, or in person, and I can help you either way.",Static,MC 216 p.1,Never make the[…] default.,108,Yes
KB-SND-03,Submitting,T1,Do I have to send the papers with it?,Do I need to attach proof?,"Yes, send your proof with the form. If you send the form without it, they'll write and ask, which slows things down.",Static,MC 216 p.15–16,Privacy section s[…] them for anythin[…],109,Yes
KB-SND-04,Submitting,T1,Do I have to do an interview?,Will someone call me? · Do I need to go in?,Not usually for Medi-Cal renewal. Interviews are mainly for food and cash aid.,Static,"SAWS 2 PLUS cover, Q4",Interview require[…] and cash aid. M[…],110,Yes
KB-SND-05,Submitting,T1,What happens after I send it?,Then what? · How will I know?,"The county will write to you to say what they decided. If they need one more thing first, they'll send a request for that.",Static,MC 216 p.16,Notice of Action […] Set the expectat[…],111,Yes
KB-SND-06,Submitting,T1,Will I get a new card?,Do I need a new card? · Where's my BIC?,Keep the card you have — it stays the same and you use it even if your coverage stops and starts again.,Static,SAWS 2 PLUS Program Rules p.4,Form says neve[…] the same card is[…],112,No
KB-SND-07,Submitting,T1,How do I get a replacement card?,I lost my card,"You can ask for a replacement, and a counsellor can start that for you while we're at it.",Static,SAWS 2 PLUS Program Rules p.4,Verify the curren[…] county before pr[…],113,No
KB-SND-08,Submitting,T1,What if they say no?,What if I get denied?,"You can appeal. If you disagree with their decision you have ninety days to ask for a hearing, and there's free help to do it.",Static,[clipped],,114,No
KB-SND-09,Submitting,T1,Can I get free legal help?,Is there a lawyer? · Who can fight this for me?,"Yes, there's free legal help available, and you can also have someone represent you at a hearing.",Static,[clipped],,115,No
"TRUST, PRIVACY AND 'WHO ARE YOU' — highest-stakes non-clinical set",,,,,,,,,116,
KB-TRU-01,Trust,T1,Who is this?,Who am I speaking to? · Where are you calling from?,"I'm an automated assistant calling for [clinic name], where you get your care. I'm calling about your Medi-Cal renewal.",Static,[clipped],,117,Yes
KB-TRU-02,Trust,T1,Are you a robot?,Am I talking to a computer? · Are you real?,"I'm an automated assistant, yes. If you'd rather speak to a person, I can put you through right now.",Static,[clipped],,118,Yes
KB-TRU-03,Trust,T1,How do I know this isn't a scam?,I don't trust this · People try to trick me,"That's a fair question and I'd rather you checked. Hang up and call [clinic main line] yourself, and ask about your Medi-Cal renewal.",Static,[clipped],,119,Yes
KB-TRU-04,Trust,T1,How did you get my number?,Who gave you my details?,From your records at [clinic name]. I'm not calling from a company you don't know.,Static,[clipped],,120,Yes
KB-TRU-05,Trust,T1,Are you going to ask me for money?,Is this going to cost me? · Do you want my card number?,"No. We will never ask you for money, a card number, or a bank account. If anyone ever does, it isn't us.",Static,[clipped],,121,Yes
KB-TRU-06,Trust,T1,Do you work for the government?,Are you from the county? · Are you the state?,"No. I'm calling for [clinic name], your health centre. The county makes the decisions about your coverage.",Static,[clipped],,122,Yes
KB-TRU-07,Trust,T1,Who sees my information?,Is this private? · Who do you tell?,"Your information is private and confidential by law, and it's used to run your health coverage.",Static,M[…],,123,Yes
KB-TRU-08,Trust,T1,Do you have my Social Security number?,Don't ask me for my social,"I won't ask you for it. If it's needed at all, that's handled with a person, never with me.",Static,[clipped],,124,Yes
KB-TRU-09,Trust,T1,Stop calling me.,Take me off your list · Don't call again,"Understood, I'll take you off. Sorry to have bothered you.",Static,—,,125,No
KB-TRU-10,Trust,T1,Can I call you back?,I'm busy right now · Call me later,"Of course. You can reach us on [clinic line], or tell me a better time and we'll call you.",Static,—,,126,No
KB-TRU-11,Trust,T3,Someone already called me about this and I gave them information.,I think I got scammed · I gave someone my details,Let me get you to a person straight away so we can work out what happened.,Transfer,—,,127,No
"IMMIGRATION AND ENFORCEMENT — T4, NEVER ANSWERED",,,,,,,,,128,
KB-IMM-01,Immigration,T4,Will this affect my green card or my status?,Public charge · Will it hurt my case? · Will it stop my papers?,That's a really important question and I'm not the right one to answer it. Let me get you to a specialist right now — they do this every day and it's confidential.,Transfer,—,,129,No
KB-IMM-02,Immigration,T4,Will you tell immigration about me?,Does ICE see this? · Will they find out?,I understand why you're asking. I want you to hear that from a person rather than from me — let me put you through now.,Transfer,—,,130,No
KB-IMM-03,Immigration,T4,Can I apply if I don't have papers?,I'm undocumented · I don't have status,Let me get you to a specialist who can answer that properly and confidentially.,Transfer,—,,131,No
KB-IMM-04,Immigration,T4,My kids are citizens but I'm not.,Only my children have status,That comes up a lot and there is help for it. Let me get you to someone who can go through it with you.,Transfer,—,,132,No
KB-IMM-05,Immigration,T4,My status changed this year. What do I put?,I got my green card · I have a new document number,"There is a question about that on the form, and I want a person to help you with it. Let me put you through.",Transfer,—,,133,No
KB-IMM-06,Immigration,T4,Is it safe for me to fill this in?,Should I even do this? · Is it risky?,I want to make sure you get a proper answer to that. Let me get you to a specialist — it's free and confidential.,Transfer,—,,134,No
"ELIGIBILITY DETERMINATIONS — T3/T4, NEVER ANSWERED",,,,,,,,,135,
KB-ELG-01,Eligibility,T3,Will I qualify?,Am I eligible? · Do I get it?,That's the county's decision and I don't want to guess about something this important. Let me get you to someone who can look at your case.,Transfer,[clipped],,136,No
KB-ELG-02,Eligibility,T3,What's the income limit?,How much can I make? · What's the cut-off?,The limits depend on your household and change over time. Let me get you to a specialist rather than give you a number that might be wrong.,Transfer,[clipped],,137,No
KB-ELG-03,Eligibility,T3,Will I have to pay a share of cost?,What's this share of cost? · Do I owe money each month?,A share of cost can appear for some people and it's often fixable. Let me get you to a specialist — this one is worth a proper look.,Transfer,[clipped],,138,No
KB-ELG-04,Eligibility,T3,Why did my coverage change to emergency only?,They said restricted · I can only use the ER now,That's a change in the type of coverage and it's usually worth challenging or correcting. Let me get you to a specialist.,Transfer,[clipped],,139,No
KB-ELG-05,Eligibility,T3,Should I apply for Covered California instead?,Am I better off with the marketplace?,That depends on your situation and I don't want to steer you wrong. Let me get you to a counsellor who handles both.,Transfer,[clipped],,140,No
KB-ELG-06,Eligibility,T3,How much will my medicine cost?,Do I have a copay? · What does it cover?,Coverage details are best answered by your plan or a counsellor. Let me get you to the right person.,Transfer,[clipped],,141,No
"DISTRESS AND CLINICAL — T4, WORKFLOW STOPS",,,,,,,,,142,
KB-DIS-01,Distress,T4,I can't afford my medication.,I ran out of my insulin · I can't pay for my pills,That matters more than this form. Let me get you to someone at [clinic name] right now who can help with that.,Transfer,[clipped],,143,No
