Maya knowledge base — patient questions derived from form fields,,,,,,,,
"Tier is a routing rule. Answer text is what Maya says — spoken, short, no lists. Filter column C to review one tier at a time.",,,,,,,,
,,,,,,,,
ID,Topic,Tier,Canonical question,How patients actually say it,What Maya says,Answer source,Citation,Design note
KB-HLP-02,Help,T1,Can someone else deal with this for me?,Can my daughter handle it? · I want my son to talk to them,"Yes. You can name someone — a family member, friend, carer, or an advocate — to help with your Medi-Cal and speak to the county for you.",Static,MC 216 p.2,Authorized representative. Note the form says to phone the county to appoint one; there is no field on the renewal.
KB-HLP-03,Help,T1,Can you submit it for me?,Can you just do it? · Will you send it in?,"We can, if you give us permission first. It takes a few minutes and I'll read you exactly what you're agreeing to.",Static,MC 216 p.15,Never claim this without the consent step. The signature line covers the beneficiary or an authorized representative.
KB-HLP-04,Help,T3,How do I change who represents me?,I don't want my ex handling it anymore,You can change that at any time. Let me get you to someone who can do it properly with the county.,Transfer,MC 216 p.2,Form directs this to a phone call with the county office. Cancellation may need MC 381.
KB-HLP-05,Help,T1,Can I do this in person instead?,I'd rather come in · I don't want to do this on the phone,Of course. I can book you with a counsellor at a clinic near you who speaks your language.,Static,MC 216 p.1,"Form lists in person as a submission method. Book a real appointment, do not just name a location."
KB-HLP-06,Help,T1,Is there a cost for this help?,How much do you charge? · Do I have to pay you?,"Nothing at all. The help is free, and we will never ask you for money or a payment of any kind.",Static,SAWS 2 PLUS cover,Say the never-asks-for-payment line early and unprompted on every call.
HOUSEHOLD — MC 216 pages 3–4,,,,,,,,
KB-HH-01,Household,T1,Who do I have to include?,Who counts as my household?,"Your spouse or partner, your children who live with you, any parents living with their children, and anyone on your tax return if you file one.",Static,MC 216 p.3,"Four clauses, said as one breath. Do not read the fifth dependent clause unless asked."
KB-HH-02,Household,T1,Do I include my boyfriend or my roommate?,My girlfriend lives here · What about the guy renting a room?,"No. A boyfriend, girlfriend, or roommate applies on their own form if they want health coverage.",Static,MC 216 p.3,Stated with those exact examples on the form. High-frequency question.
KB-HH-03,Household,T1,Someone claims me as a dependent. What do I do?,My mum claims me on her taxes,"Then you include everyone in the household that claims you, plus any family living with you. It's worth having a counsellor check this one with you.",Static,MC 216 p.3,Answerable but genuinely confusing. Offer the handoff in the same breath rather than after a wrong turn.
KB-HH-04,Household,T1,My son moved out.,My daughter went to college · Someone left the house,Just tell them what changed and when. There's a place on the form for household changes in the last twelve months.,Static,MC 216 p.4,The 'what changed' block is free text on the form. Capture to a controlled vocabulary internally.
KB-HH-05,Household,T1,I had a baby.,There's a new baby · I gave birth,Congratulations. Add them and they can get covered. Let me make sure that gets on the form properly.,Static,"MC 216 p.4, p.12",Newborn addition. Also note the add-to-Medi-Cal block asks for SSN 'if they have one' — never insist.
KB-HH-06,Household,T1,Does everyone have to live with me?,My husband works out of town,"Not necessarily. Household members can have different addresses, and there's room on the form for that.",Static,SAWS 2 PLUS Q6a,The application has per-member contact blocks precisely for this.
KB-HH-07,Household,T1,Someone in my house wants to apply too.,Can my wife get on it? · My mother needs coverage,Yes. There's a section for someone in your household who isn't on Medi-Cal yet and wants to apply.,Static,MC 216 p.12,Growth opportunity for the clinic's panel as well as the right answer.
KB-HH-08,Household,T3,Someone in my household died.,My husband passed away,I'm sorry. I'm not going to make you go through that on this call — let me get you to a person who can handle it with you.,Transfer,MC 216 p.13,The county pre-flags deceased status and asks the beneficiary to confirm. Never have a voice agent confirm a death.
KB-HH-09,Household,T3,Someone in my household is in jail.,My son is locked up · He's incarcerated,That's on the form and it does affect things. Let me get you to a specialist rather than guess at it.,Transfer,MC 216 p.13,County pre-flags this and asks for a release date if the flag is wrong. Sensitive and eligibility-relevant.
KB-HH-10,Household,T1,Does it matter if my kids are covered and I'm not?,Only my children have it,"It's common for different people in one family to be on different programmes, and children can be covered even when adults aren't.",Static,SAWS 2 PLUS Program Rules p.2,The form states plainly that a family can get benefits for eligible members even if others aren't eligible. Stop there — do not extend it toward immigration.
TAX QUESTIONS — MC 216 page 5,,,,,,,,
KB-TAX-01,Tax,T1,I don't file taxes. Can I still get Medi-Cal?,I never do taxes · I don't work enough to file,Yes. You don't have to file taxes to get health coverage. There's even a box for 'non-tax filer'.,Static,"MC 216 p.3, p.5",Stated explicitly on the form. One of the highest-value answers in the whole KB — it removes a common self-disqualification.
KB-TAX-02,Tax,T1,What is a primary tax filer?,What does primary filer mean?,"It's just the first person listed on the tax return. If nobody files, there isn't one.",Static,MC 216 p.5,Form defines it in those terms.
KB-TAX-03,Tax,T1,What does head of household mean?,Which box do I tick?,"It's a tax filing status — usually someone who's unmarried and supports a child or relative. If you're not sure, a counsellor can check your last return with you.",Static,MC 216 p.5,"Borderline. Give the plain definition, then offer the handoff. Do not help them choose a status."
KB-TAX-04,Tax,T1,Why do you need my tax information?,What's tax got to do with my health?,Medi-Cal works out household size and income partly from tax information. It's only used to decide health coverage.,Static,"MC 216 p.5, p.16",Privacy statement supports the second sentence.
KB-TAX-05,Tax,T3,My tax situation changed. Does that matter?,I got married · I'm filing separately now,"It can matter quite a bit, because it changes who counts in your household. Let me get you to a counsellor.",Transfer,MC 216 p.5,A changed primary filer reshapes the whole determination. Not a Maya answer.
KB-TAX-06,Tax,T1,What is that box about using my tax returns to renew automatically?,It says something about renewing for five years,"If you say yes, the county can use your tax information to renew you automatically in future years, so you may not have to fill anything in. You can change your mind later.",Static,SAWS 2 PLUS Q23f,"Appears on the application, not the renewal. Saying yes is what makes automatic renewal possible — worth explaining well."
KB-TAX-07,Tax,T1,Will Medi-Cal cost me money at tax time?,Will I owe anything? · Do I have to pay it back?,"Not for Medi-Cal. That repayment rule applies to Covered California subsidies, not to Medi-Cal.",Static,MC 216 p.17,Rights section ties repayment to premium assistance and state subsidy. Keep the distinction crisp.
"INCOME — MC 216 pages 6–7, the highest-volume section",,,,,,,,
KB-INC-01,Income,T1,Do you want the amount before or after taxes?,Is that my take-home? · Before deductions?,Before. Put the amount before any taxes or deductions come out — the bigger number on your pay stub.,Static,MC 216 p.6,"The single most common patient error, and a direct cause of income mismatches. Worth saying unprompted."
KB-INC-02,Income,T1,I get paid every two weeks. What do I put?,I'm paid biweekly · Twice a month?,"There's a choice for that. 'Every two weeks' and 'twice a month' are different options, so pick the one that matches your pay days.",Static,MC 216 p.6,Twenty-six pay periods versus twenty-four. Collapsing them misstates annual income by nearly a month's pay.
KB-INC-03,Income,T1,My hours change every week. What do I write?,Some weeks I get nothing · It's different every month,"Then say your income changes month to month, and give what you expect for the whole next year. That's usually fairer than one week's pay stub.",Static,MC 216 p.7,"The annualisation field. For seasonal and agricultural work this is the fix for a mismatch, not more paystubs."
KB-INC-04,Income,T1,I work for cash. I don't have pay stubs.,I get paid in cash · Nobody gives me a stub · Day labour,"That's fine and it's common. You can report it as self-employment, and a tax return or a simple profit and loss can work instead of stubs.",Static,"MC 216 p.6, p.8",Form names 'last year's tax return' as acceptable income proof and 'profit and loss statement' as deduction proof. Cornerstone answer for this population.
KB-INC-05,Income,T1,What counts as income?,Do I have to put everything?,"Money from a job, from working for yourself, and from things like Social Security, unemployment, or a pension.",Static,MC 216 p.6–7,"Give the four common categories, not the thirty-item list. If they press on a specific type, that is T3."
KB-INC-06,Income,T3,Does my child's SSI count? Does CalFresh count?,Does food stamps count as income? · What about my disability cheque?,Whether a particular payment counts is exactly the kind of thing I don't want to get wrong. Let me get you a specialist.,Transfer,—,Income countability is an eligibility determination. Hard T3 no matter how simple the question sounds.
KB-INC-07,Income,T1,I just lost my job.,I got laid off · My hours got cut,Then report the last date you got that pay. Losing income usually helps rather than hurts your Medi-Cal.,Static,MC 216 p.6,"The 'date of the last time you got this income' field. Second sentence is directional, not a determination — keep it that vague."
KB-INC-08,Income,T1,Do I report tips?,What about cash tips?,"Yes, tips count as part of what you earn.",Static,SAWS 2 PLUS Q8,Tips are listed as earned income on the application.
KB-INC-09,Income,T1,Do I report money my family sends me?,My son helps me with rent · Someone gives me money,"It's worth putting down, including help with rent, food, or clothing. A counsellor can tell you how it's treated.",Static,"SAWS 2 PLUS Q7, Q9","Both 'help with rent/food/clothing' and in-kind housing appear on the form. Report it, do not judge it."
KB-INC-10,Income,T1,What proof of income do I need to send?,What papers do you want?,"Recent pay stubs, a benefit or award letter, or last year's tax return. Any one of those usually does it.",Static,MC 216 p.6,"Three named acceptable proofs, verbatim from the form. Note that a tax return is often easier than stubs for this ICP."
KB-INC-11,Income,T1,My income is on there but it's wrong.,That's not what I make · That number is old,"Then tick 'no' next to it and give the date you last got that income, and the new amount. That's exactly what the update section is for.",Static,MC 216 p.6–7,The correction mechanic. This is the confirm-or-correct model in action.
KB-INC-12,Income,T3,Do I make too much for Medi-Cal?,Am I over the limit? · Will I still qualify?,"That's the county's decision, and I don't want to guess about your coverage. Let me get you to someone who can look at your case properly.",Transfer,—,Never answered. Never softened into 'you're probably fine'. This is the definitional eligibility determination.
KB-INC-13,Income,T3,The county says my income doesn't match. Why?,They say the numbers are different · They want proof of income again,"That's the most common reason a renewal gets held up, and it's fixable. Let me get you to a specialist who does this all day.",Transfer,MC 216 p.6,The reasonable-compatibility failure. Route to CEC with the income script and the attestation option.
KB-INC-14,Income,T1,Do I report my husband's income if he's not applying?,He's not on Medi-Cal · Does his money count?,His income usually still needs reporting even if he isn't applying. A counsellor can walk through it with you.,Static,SAWS 2 PLUS Opting Out para,"Form states the county needs income and resource information for non-applying members. Report, then hand off the effect."
EXPENSES AND DEDUCTIONS — MC 216 page 8,,,,,,,,
KB-EXP-01,Deductions,T1,Why would I tell you about my expenses?,What's the point of this section?,"Because some expenses lower the income they count, which can help you. It's worth filling in.",Static,MC 216 p.8,"Form states reporting deductions 'may lower the income Medi-Cal uses'. Frame as beneficial, because patients skip it."
KB-EXP-02,Deductions,T1,What kind of expenses count?,Like what?,"Things like self-employment costs, student loan interest, retirement contributions, or alimony you pay.",Static,MC 216 p.8,Four named examples from the form.
KB-EXP-03,Deductions,T1,What proof do I need for expenses?,How do I show it?,A profit and loss statement or a tax return usually works.,Static,MC 216 p.8,Both named on the form. The P&L route is the self-employment ledger path.
KB-EXP-04,Deductions,T3,I'm self-employed. What can I deduct?,Can I take off my gas and tools?,There's more than one way to count self-employment costs and the right one depends on your situation. Let me get you a counsellor.,Transfer,SAWS 2 PLUS Q8a,The 40% flat rate is CalFresh and cash aid only. Maya must never offer it for a Medi-Cal-only case.
KB-EXP-05,Deductions,T1,Do I have to fill this part in?,Can I skip it?,"You don't have to, but it can only help you, so it's usually worth a few minutes.",Static,MC 216 p.8,
"OTHER COVERAGE AND MEDICARE — MC 216 pages 9, 11",,,,,,,,
KB-COV-01,Other coverage,T1,I have insurance from my job. Do I still qualify?,I have work insurance · Can I have both?,You can have Medi-Cal alongside other coverage in some cases. Just report the other plan and let the county work it out.,Static,MC 216 p.11,Report-and-route. Do not assess interaction between plans.
KB-COV-02,Other coverage,T1,Do I have to report my dental plan?,It's only dental · What about vision?,"Yes — health, dental, vision, or pharmacy plans all go in that section.",Static,MC 216 p.11,Four types named on the form.
KB-COV-03,Other coverage,T1,I have Medicare. Do I still need this?,I'm on Medicare already,"Yes, still send it back. Many people have both, and Medi-Cal can help with Medicare costs.",Static,MC 216 p.9,"Form collects Part A–D premiums, which is why both coexist."
KB-COV-04,Other coverage,T1,I don't know which parts of Medicare I have.,What's Part B? · I don't know my plan,You can call Medicare directly on 1-800-633-4227 and they'll tell you. Or a counsellor can help you find out.,Static,MC 216 p.9,The form itself gives this number. Only speak a phone number if the patient confirms they can write it down.
KB-COV-05,Other coverage,T1,My other insurance is ending.,I'm losing my work plan,That's worth reporting — there's a place for coverage that ended or is ending in the last ninety days.,Static,SAWS 2 PLUS Q22b,Loss-of-coverage trigger.
KB-COV-06,Other coverage,T3,Should I drop my other insurance?,Is it better to just use Medi-Cal?,"I can't advise you on that one, and it matters too much to guess. Let me get you to a specialist.",Transfer,—,Coverage advice. Firmly out of scope.
KB-COV-07,Other coverage,T3,Someone in my family is in a nursing home.,My mother is in long-term care,Long-term care has its own rules and I don't want to get them wrong. Let me get you to someone who handles that.,Transfer,MC 216 p.10,Long-term care and spousal impoverishment. Always CEC.
HOUSEHOLD CHANGES — MC 216 pages 12–13,,,,,,,,
KB-CHG-01,Changes,T1,I'm pregnant.,I'm expecting · I'm having a baby,"Congratulations — do tell them, because pregnancy can change what you're eligible for and there's extra help available.",Static,MC 216 p.12,Form asks for due date and number of babies expected. Also a WIC referral route.
KB-CHG-02,Changes,T1,I was in foster care.,I aged out of foster care,"That matters. If you were in foster care on or after your eighteenth birthday, in any state, you may be covered up to twenty-six.",Static,MC 216 p.12,Former foster youth category. 'Any state' is on the form and is often assumed to be California only.
KB-CHG-03,Changes,T1,My child turned nineteen.,He's not a kid anymore · She's twenty now,There's a question about that — being nineteen or twenty and a full-time student is asked separately.,Static,MC 216 p.13,Narrow 19–20 full-time-student band.
KB-CHG-04,Changes,T1,Someone in my house has a disability.,My son is autistic · I'm disabled,"There's a place to say that. It can open up extra help, so it's worth putting down.",Static,MC 216 p.12,"Physical, mental, emotional, or developmental. The injury sub-question feeds third-party liability."
KB-CHG-05,Changes,T1,Can I get help with in-home care?,Who helps me at home? · I need someone to help me bathe,"Yes, there's a programme for in-home care and you can ask for information about it right on the form.",Static,MC 216 p.14,"IHSS / Personal Care Services referral question. Optional section, zero eligibility risk."
KB-CHG-06,Changes,T1,Can my kids get check-ups and dental?,Do my children get a dentist?,"Yes — there's a no-cost programme for children under twenty-one, and you can ask for information about it on the form.",Static,MC 216 p.14; SAWS 2 PLUS Q38,CHDP. Good clinic value and no eligibility consequence.
KB-CHG-07,Changes,T1,Can I get help with food?,Do you do food stamps? · I need groceries,"Yes. There's a food programme for pregnant and breastfeeding people and children under five, and CalFresh for food more generally. I can flag both.",Static,MC 216 p.14; SAWS 2 PLUS cover,WIC and CalFresh. Never imply Maya has applied for either.
KB-CHG-08,Changes,T3,Someone had a transplant / is on dialysis.,I'm on dialysis three times a week,There are specific questions about that on the form. Let me get you to someone who can make sure they're answered right.,Transfer,MC 216 p.14,Organ transplant within two years and dialysis are both asked. Clinically loaded — hand off.
SIGNING AND PERMISSION — MC 216 page 15,,,,,,,,
KB-SIG-01,Signature,T1,Do I have to sign it?,Does it need my signature?,"Yes, it has to be signed or it isn't complete.",Static,MC 216 p.15,Signature under penalty of perjury is a federal and state requirement.
KB-SIG-02,Signature,T1,What does 'penalty of perjury' mean?,What am I signing? · That sounds serious,It means you're promising the answers are true as far as you know. It's the same as most government forms.,Static,MC 216 p.15,Do not read the four-years-in-jail line unless the patient asks directly. It is on the form and must be read before a telephonic signature.
KB-SIG-03,Signature,T1,What if I get something wrong by accident?,What if I don't know an answer?,"The form only asks that you answer as far as you know, and that you make a reasonable effort to check what you don't. Honest mistakes aren't fraud.",Static,MC 216 p.15,The 'reasonable attempt' clause is genuinely reassuring and is what makes assisted completion coherent.
KB-SIG-04,Signature,T1,Can someone sign for me?,Can my daughter sign it? · I can't write,Yes. The signature line allows either you or someone you've named to represent you.,Static,MC 216 p.15,The explicit statutory hook for the AR model. Do not extend it into 'so I can sign for you' without the consent step.
KB-SIG-05,Signature,T1,Can I sign over the phone?,Do I have to mail it? · Can we do this now?,"In many cases yes. If we do, I'll read you exactly what you're agreeing to first, and it gets recorded.",Static,DHCS MEDIL I 18-13,Telephonic signature with a recorded sworn statement. Legal wording must be counsel-approved before this answer ships.
KB-SIG-06,Signature,T1,Are you recording this?,Is this being recorded?,"Yes, and I should have said so — calls are recorded. You can ask me to stop at any time.",Static,—,"Recording notice belongs at the top of every call, not as an answer. If Maya is answering this, the opener failed."
KB-SIG-07,Signature,T3,What am I agreeing to if I let you represent me?,What does that permission mean?,That's an important question and you should hear the full answer from a person. Let me get you a counsellor who will read it through with you.,Transfer,MC 216 p.15,"The AR grant is broad. A patient asking this deserves a human, not a summary."
KB-SIG-08,Signature,T1,Can I change my mind later?,Can I take it back? · What if I don't want this?,"Yes, at any time. Naming someone to help is your choice, and it's never a condition of getting care.",Static,MC 216 p.2; SAWS 2 PLUS App C,"Free-choice disclosure. Must be true in the flow, not only in the script."
SENDING IT IN AND WHAT HAPPENS NEXT,,,,,,,,
KB-SND-01,Submitting,T1,How do I send this back?,Where does it go? · Do I mail it?,"Four ways: online, by post in the envelope that came with it, over the phone, or in person at the county office.",Static,MC 216 p.1,"All four listed on the form. Lead with whichever matches their demonstrated capability, not with online."
KB-SND-02,Submitting,T1,I don't have a computer.,I don't do internet · I only have a phone,"No problem at all. It can be done by post, over the phone, or in person, and I can help you either way.",Static,MC 216 p.1,Never make the digital route sound like the default.
KB-SND-03,Submitting,T1,Do I have to send the papers with it?,Do I need to attach proof?,"Yes, send your proof with the form. If you send the form without it, they'll write and ask, which slows things down.",Static,MC 216 p.15–16,Privacy section says the county will contact them for anything missing.
KB-SND-04,Submitting,T1,Do I have to do an interview?,Will someone call me? · Do I need to go in?,Not usually for Medi-Cal renewal. Interviews are mainly for food and cash aid.,Static,"SAWS 2 PLUS cover, Q4",Interview requirement is stated for CalFresh and cash aid. MC 216 does not require one.
KB-SND-05,Submitting,T1,What happens after I send it?,Then what? · How will I know?,"The county will write to you to say what they decided. If they need one more thing first, they'll send a request for that.",Static,MC 216 p.16,Notice of Action or Request for Information. Set the expectation of a possible second ask.
KB-SND-06,Submitting,T1,Will I get a new card?,Do I need a new card? · Where's my BIC?,Keep the card you have — it stays the same and you use it even if your coverage stops and starts again.,Static,SAWS 2 PLUS Program Rules p.4,Form says never throw the BIC away and the same card is reused.
KB-SND-07,Submitting,T1,How do I get a replacement card?,I lost my card,"You can ask for a replacement, and a counsellor can start that for you while we're at it.",Static,SAWS 2 PLUS Program Rules p.4,Verify the current replacement route per county before promising a channel.
KB-SND-08,Submitting,T1,What if they say no?,What if I get denied?,"You can appeal. If you disagree with their decision you have ninety days to ask for a hearing, and there's free help to do it.",Static,MC 216 p.18,"Ninety days to file, stated on the form, along with free legal aid referral. Do not advise on the merits."
KB-SND-09,Submitting,T1,Can I get free legal help?,Is there a lawyer? · Who can fight this for me?,"Yes, there's free legal help available, and you can also have someone represent you at a hearing.",Static,MC 216 p.18; SAWS 2 PLUS Program Rules p.1,Referral only. Maya never characterises the case.
"TRUST, PRIVACY AND 'WHO ARE YOU' — highest-stakes non-clinical set",,,,,,,,
KB-TRU-01,Trust,T1,Who is this?,Who am I speaking to? · Where are you calling from?,"I'm an automated assistant calling for [clinic name], where you get your care. I'm calling about your Medi-Cal renewal.",Static,—,"AI disclosure, clinic name, purpose. Belongs in the opener. Exact statutory wording is UNVERIFIED pending counsel."
KB-TRU-02,Trust,T1,Are you a robot?,Am I talking to a computer? · Are you real?,"I'm an automated assistant, yes. If you'd rather speak to a person, I can put you through right now.",Static,—,Answer plainly and immediately offer the human. Never deflect or joke.
KB-TRU-03,Trust,T1,How do I know this isn't a scam?,I don't trust this · People try to trick me,"That's a fair question and I'd rather you checked. Hang up and call [clinic main line] yourself, and ask about your Medi-Cal renewal.",Static,—,Actively invite verification. This is the single best trust move available and it costs one call.
KB-TRU-04,Trust,T1,How did you get my number?,Who gave you my details?,From your records at [clinic name]. I'm not calling from a company you don't know.,Static,—,Ground it in the care relationship.
KB-TRU-05,Trust,T1,Are you going to ask me for money?,Is this going to cost me? · Do you want my card number?,"No. We will never ask you for money, a card number, or a bank account. If anyone ever does, it isn't us.",Static,—,Say unprompted early in every call. It is the clearest scam differentiator available.
KB-TRU-06,Trust,T1,Do you work for the government?,Are you from the county? · Are you the state?,"No. I'm calling for [clinic name], your health centre. The county makes the decisions about your coverage.",Static,—,Accuracy matters here. Claiming government authority would be both false and frightening.
KB-TRU-07,Trust,T1,Who sees my information?,Is this private? · Who do you tell?,"Your information is private and confidential by law, and it's used to run your health coverage.",Static,MC 216 p.16,Two sentences only. Do NOT extend this answer toward immigration — that is KB-IMM-02 and it is a hard stop.
KB-TRU-08,Trust,T1,Do you have my Social Security number?,Don't ask me for my social,"I won't ask you for it. If it's needed at all, that's handled with a person, never with me.",Static,—,Maya never requests or confirms an SSN. Not even partially. Not even the last four.
KB-TRU-09,Trust,T1,Stop calling me.,Take me off your list · Don't call again,"Understood, I'll take you off. Sorry to have bothered you.",Static,—,"Honour immediately. No retention attempt, no persuasion, no 'before you go'. Persists network-wide and across cycles."
KB-TRU-10,Trust,T1,Can I call you back?,I'm busy right now · Call me later,"Of course. You can reach us on [clinic line], or tell me a better time and we'll call you.",Static,—,"Inbound is a primary channel for this population, not a courtesy."
KB-TRU-11,Trust,T3,Someone already called me about this and I gave them information.,I think I got scammed · I gave someone my details,Let me get you to a person straight away so we can work out what happened.,Transfer,—,"Potential fraud against the patient. Immediate human, and log it — a pattern here is a security event."
"IMMIGRATION AND ENFORCEMENT — T4, NEVER ANSWERED",,,,,,,,
